episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
781,42.0,4.630433383810964,-4.508162487937823,58.768264429593465,-3.333333333333335,1.3333333333333333,6,1.3327878164198808,False,True,10.879580617544276,25,48.06927451701628,3888.563,in_progress,0.0
781,43.0,4.721621513220611,-4.38447473039718,56.38956203034214,10.0,4.0,20,1.27232568764018,False,True,11.197843561857752,26,48.06927451701628,3888.635,in_progress,0.0
781,44.0,4.8151527328762125,-4.2637167660876685,54.37876785763719,6.666666666666668,1.3333333333333333,15,0.001,False,True,11.520413181949975,26,48.06927451701628,3888.701,in_progress,0.0
781,45.0,4.912786526603779,-4.119729224319405,55.09005647563765,10.0,4.0,20,1.116747039116112,False,True,11.874445632985777,27,48.06927451701628,3888.757,in_progress,0.0
781,46.0,4.980819817262174,-4.009181181623465,56.727597920286144,10.0,1.3333333333333333,18,0.001,False,True,12.122843321352518,27,48.06927451701628,3888.81,in_progress,0.0
781,47.0,5.055769160474494,-3.854493316253994,61.115417456106435,10.0,2.6666666666666665,19,3.009268918916893,False,True,12.469886092325511,28,48.06927451701628,3888.905,in_progress,0.0
781,48.0,5.105062847624382,-3.737303597821783,63.93291669280325,-3.333333333333335,1.3333333333333333,6,0.001,False,True,12.688679955272647,28,48.06927451701628,3888.968,in_progress,0.0
781,49.0,5.167286786596209,-3.5986445896286416,65.15337342610206,3.333333333333332,4.0,14,1.001,False,True,12.98317314175097,29,48.06927451701628,3889.035,in_progress,0.0
781,50.0,5.226785794231888,-3.4809981392834026,64.26494283617319,10.0,4.0,20,1.001,False,True,13.233726767232845,29,48.06927451701628,3889.096,in_progress,0.0
781,51.0,5.298504506476705,-3.3353555968249364,64.01471702874599,-3.333333333333335,1.3333333333333333,6,0.001,False,True,13.460097450562609,29,48.06927451701628,3889.165,in_progress,0.0
781,52.0,5.376469389883064,-3.199780728744479,61.81880261524428,-10.0,4.0,2,1.020850976877694,False,True,13.728200944993796,30,48.06927451701628,3889.226,in_progress,0.0
781,53.0,5.473195560103803,-3.054985319208363,58.59058651996033,-6.666666666666668,4.0,5,0.001,False,False,13.92709968933139,30,48.06927451701628,3889.296,in_progress,0.0
781,54.0,5.567034771897437,-2.933678796307203,55.13767729189572,3.333333333333332,1.3333333333333333,12,0.001,False,False,14.145201327572499,30,48.06927451701628,3889.366,in_progress,0.0
781,55.0,5.66760678667743,-2.8029800661853432,52.15829190621035,-10.0,2.6666666666666665,1,0.001,False,False,14.380365818649931,31,48.06927451701628,3889.437,in_progress,0.0
781,56.0,5.7803139757898245,-2.66433329073948,50.79305499459869,3.333333333333332,4.0,14,0.001,True,False,14.56074535596098,31,48.06927451701628,3889.492,off_track,0.0
