Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
28,1.0,0.0,0.0,191.0,8.0,16.0,749.0,0.0,15.741917856188936,0.0,0.0,162.6362144947052,,,,,,,,,,,,,,,,,,,,,6.881826152229943,5.734955243788853,15.663119213060165,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,212.0,9.0,21.0,770.0,0.0,29.304250392367386,0.0,0.0,164.8025143146515,,,,,,,,,,,,,,,,,,,,,10.634681778876436,10.855993697258898,29.139171278396496,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,234.0,10.0,22.0,792.0,0.0,23.272703163296402,0.0,0.0,167.40074133872986,,,,,,,,,,,,,,,,,,,,,7.685031724500252,8.223156980043905,23.1499091337157,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,255.0,11.0,21.0,813.0,0.0,20.51079237408115,0.0,0.0,169.710551738739,,,,,,,,,,,,,,,,,,,,,6.925203150176763,7.786201078938254,20.406155011796013,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,295.0,12.0,40.0,853.0,0.0,49.337932534151015,0.0,0.0,173.9943675994873,,,,,,,,,,,,,,,,,,,,,24.19835550512246,16.82016473249594,48.466883614291106,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,324.0,13.0,29.0,882.0,0.0,36.251776221682256,0.0,0.0,177.0111119747162,,,,,,,,,,,,,,,,,,,,,14.907667514961004,12.46263301901755,35.89120037329462,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,353.0,14.0,29.0,911.0,0.0,46.87462941211816,0.0,0.0,180.16778993606567,,,,,,,,,,,,,,,,,,,,,22.129279640546965,17.08662454856665,46.32548494695126,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,385.0,15.0,32.0,943.0,0.0,31.124790358121906,0.0,0.0,183.5638689994812,,,,,,,,,,,,,,,,,,,,,13.007835974960841,10.573270819582445,30.799848783527224,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,425.0,16.0,40.0,983.0,0.0,53.073006074990566,0.0,0.0,187.77278065681458,,,,,,,,,,,,,,,,,,,,,21.131234859285904,16.337987097820225,52.332369086422915,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,459.0,17.0,34.0,1017.0,0.0,34.017222431279,0.0,0.0,191.39349627494812,,,,,,,,,,,,,,,,,,,,,15.52163640471199,12.221969491446004,33.62177730251957,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,497.0,18.0,38.0,1055.0,0.0,50.029165345389394,0.0,0.0,195.2097065448761,,,,,,,,,,,,,,,,,,,,,24.421292363895873,16.465811237316238,49.199506048151626,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,531.0,19.0,34.0,1089.0,0.0,31.872883602785823,0.0,0.0,198.77667427062988,,,,,,,,,,,,,,,,,,,,,11.906194287007223,10.498735875068443,31.561665338609043,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,558.0,20.0,27.0,1116.0,0.0,22.020445821300136,0.0,0.0,201.79112195968628,,,,,,,,,,,,,,,,,,,,,7.140334607218782,6.09763832393017,21.871377670869297,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,41.0,1.0,41.0,1157.0,0.0,52.678777018216714,0.0,0.0,293.59507751464844,,,,,,,,,,,,,,,,,,,,,23.10262600021603,16.410352010871275,51.88607396677238,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,64.0,2.0,23.0,1180.0,0.0,24.174852610768728,0.0,0.0,296.0678553581238,,,,,,,,,,,,,,,,,,,,,10.71228800967936,9.498650685886167,24.022420626595384,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,86.0,3.0,22.0,1202.0,0.0,26.788544896235404,0.0,0.0,298.59848189353943,,,,,,,,,,,,,,,,,,,,,12.094869281082657,9.454096627067681,26.57558236119161,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,105.0,4.0,19.0,1221.0,0.0,30.237739261192413,0.0,0.0,300.79427766799927,,,,,,,,,,,,,,,,,,,,,14.563171975331745,11.254231118498177,30.02105107475955,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,130.0,5.0,25.0,1246.0,0.0,32.68294033608601,0.0,0.0,303.78989720344543,,,,,,,,,,,,,,,,,,,,,9.596472424628232,11.26215440358395,32.50801204154135,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,149.0,6.0,19.0,1265.0,0.0,16.485793956188367,0.0,0.0,305.87223768234253,,,,,,,,,,,,,,,,,,,,,6.813932388815549,5.869260497972937,16.389091033777394,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,174.0,7.0,25.0,1290.0,0.0,28.410993735735648,0.0,0.0,308.5539286136627,,,,,,,,,,,,,,,,,,,,,9.32004514190533,10.108307295706782,28.234433239233237,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,194.0,8.0,20.0,1310.0,0.0,24.988192035303694,0.0,0.0,310.791152715683,,,,,,,,,,,,,,,,,,,,,10.933255846775186,8.786154317451356,24.819140379987783,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,230.0,9.0,36.0,1346.0,0.0,58.06145506316306,0.0,0.0,314.9518485069275,,,,,,,,,,,,,,,,,,,,,23.33483525671422,19.4885804049705,57.33601568928426,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,267.0,10.0,37.0,1383.0,0.0,51.32112418138914,0.0,0.0,318.79434967041016,,,,,,,,,,,,,,,,,,,,,20.81905958839053,15.543728203364902,50.652072469485205,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,286.0,11.0,19.0,1402.0,0.0,21.67020158977285,0.0,0.0,321.0637016296387,,,,,,,,,,,,,,,,,,,,,6.871157851756832,7.659289049732429,21.582793594985844,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,309.0,12.0,23.0,1425.0,0.0,32.446573223526926,0.0,0.0,323.56008768081665,,,,,,,,,,,,,,,,,,,,,13.802469235274726,11.133131379659291,32.193471180004444,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,332.0,13.0,23.0,1448.0,0.0,15.850364880105792,0.0,0.0,325.9497916698456,,,,,,,,,,,,,,,,,,,,,6.2057539710911405,5.131082087691757,15.739094989655024,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,352.0,14.0,20.0,1468.0,0.0,25.65000674645357,0.0,0.0,328.1710000038147,,,,,,,,,,,,,,,,,,,,,11.068959236677077,8.846898603545055,25.47956120456796,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,416.0,15.0,64.0,1532.0,0.0,83.94621349935804,0.0,0.0,335.08349084854126,,,,,,,,,,,,,,,,,,,,,33.548491383709,24.622733294418758,81.96295399583825,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,448.0,16.0,32.0,1564.0,0.0,43.411882387508285,0.0,0.0,338.5610423088074,,,,,,,,,,,,,,,,,,,,,20.740198395271022,14.757460574245332,42.917614157432965,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,472.0,17.0,24.0,1588.0,0.0,43.69970480107832,0.0,0.0,341.1131749153137,,,,,,,,,,,,,,,,,,,,,18.33312965733878,14.580437459575753,43.346359061065286,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,503.0,18.0,31.0,1619.0,0.0,48.43099562727461,0.0,0.0,344.3127706050873,,,,,,,,,,,,,,,,,,,,,18.6877852734064,16.593322075817756,47.947521379035734,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,524.0,19.0,21.0,1640.0,0.0,29.2168835249116,0.0,0.0,346.7128207683563,,,,,,,,,,,,,,,,,,,,,11.745234307392352,9.944352747025572,29.028261098392047,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,552.0,20.0,28.0,1668.0,0.0,38.81375969868504,0.0,0.0,349.902170419693,,,,,,,,,,,,,,,,,,,,,16.861432027088437,13.424530296181599,38.41843805960773,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,18.0,1.0,18.0,1686.0,0.0,21.086276035528687,0.0,0.0,438.9959523677826,,,,,,,,,,,,,,,,,,,,,9.121543941837418,7.578599696649073,20.98397925037296,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,49.0,2.0,31.0,1717.0,0.0,53.22985653144426,0.0,0.0,442.3722288608551,,,,,,,,,,,,,,,,,,,,,21.664542611171242,18.398620974357833,52.66353010718224,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,71.0,3.0,22.0,1739.0,0.0,24.896153534556035,0.0,0.0,444.89440989494324,,,,,,,,,,,,,,,,,,,,,10.97654270465264,8.846385237025109,24.704052996994665,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,95.0,4.0,24.0,1763.0,0.0,28.139481235094273,0.0,0.0,447.3991005420685,,,,,,,,,,,,,,,,,,,,,13.327376067912587,8.895930541126374,27.87534702817369,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
